"Player","Team","Positions","IP","K","W","SV","ERA","WHIP","ER","H","BB","HR","G","GS","L","CG"
"Chad Green","","RP","43.3","38","2","0","4.60","1.32","22","43","15","7","43","0","3","0"
"Kendry Rojas","MIN","SP","33.2","30","2","0","4.32","1.40","16","33","13","4","27","1","2","0"
"Sean Guenther","DET","RP","25.3","20","1","0","3.96","1.30","11","25","8","3","24","0","1","0"
"Kyle Nicolas","CIN","RP","44.4","45","2","0","4.27","1.41","21","41","22","5","42","0","2","0"
"Danny Young","ATL","RP","16.4","18","1","0","3.83","1.33","7","15","7","2","17","0","1","0"
"Brendan Beck","NYY","SP","13.9","12","1","0","4.41","1.26","7","14","4","2","14","0","1","0"
"George Soriano","STL","RP","44.3","41","2","0","4.42","1.36","22","42","18","6","39","0","2","0"
"Dylan Ross","NYM","RP","32.7","35","1","0","3.96","1.36","14","28","17","4","33","0","1","0"
"Roddery Munoz","HOU","RP","50.1","50","2","0","4.64","1.40","26","46","24","8","44","0","3","0"
"Josh Simpson","SEA","RP","24.2","25","1","0","4.17","1.39","11","21","12","3","25","0","1","0"
"Peyton Pallette","CLE","RP","45.2","44","2","0","4.47","1.36","22","42","20","6","43","0","2","0"
"Robinson Ortiz","SEA","SP,RP","34.9","33","2","0","4.19","1.41","16","31","18","4","35","0","2","0"
"Martin Perez","ATL","SP","43.5","33","2","0","4.66","1.41","23","45","16","6","8","8","3","0"
"Paxton Schultz","WSH","RP","40.9","38","2","0","4.41","1.36","20","40","16","6","36","0","2","0"
"Trent Thornton","CHC","RP","25.6","22","1","0","4.28","1.29","12","25","8","4","24","0","1","0"
"Zach McCambley","PHI","SP,RP","43.1","43","2","0","4.42","1.38","21","40","19","6","43","0","2","0"
"Michael Tonkin","","RP","34.4","32","2","0","4.48","1.32","17","33","12","5","32","0","2","0"
"Daysbel Hernandez","ATL","RP","37.6","40","2","0","4.35","1.44","18","33","21","4","37","0","2","0"
"Evan Reifert","TB","RP","12.9","14","1","0","4.11","1.38","6","11","7","1","13","0","1","0"
"Grant Wolfram","BAL","RP","40.6","39","2","0","4.17","1.38","19","39","18","5","39","0","2","0"
"Jhony Brito","SD","RP","18.8","15","1","0","4.22","1.32","9","19","6","2","17","0","1","0"
